 ,Label,Area,Mean,Min,Max,Perim.
275,frame_0030.png:0002-1050,38.008,123.491,71,168,26.431
276,frame_0030.png:0003-1264,36.234,121.341,53,136,25.700
277,frame_0030.png:0001-0870,38.064,123.269,54,136,26.229
278,frame_0030.png:0002-1050,38.319,123.303,72,168,26.608
279,frame_0030.png:0003-1265,36.477,121.194,58,136,25.877
280,frame_0030.png:0001-0870,38.033,123.382,55,136,26.321
281,frame_0030.png:0002-1050,38.388,123.285,72,168,26.673
282,frame_0030.png:0003-1265,36.545,121.178,53,136,25.700
283,frame_0030.png:0001-0870,38.630,122.918,46,136,26.460
284,frame_0030.png:0002-1050,38.941,122.899,63,168,26.812
285,frame_0030.png:0003-1265,37.205,120.669,50,136,26.081
286,frame_0030.png:0001-0870,39.004,122.678,54,136,26.525
287,frame_0030.png:0002-1050,39.402,122.552,57,168,26.970
288,frame_0030.png:0003-1264,37.522,120.417,53,136,26.108
289,frame_0030.png:0001-0870,37.971,123.617,63,136,26.183
290,frame_0030.png:0002-1050,38.219,123.557,78,168,26.889
291,frame_0030.png:0003-1265,36.346,121.518,58,136,26.073
292,frame_0030.png:0001-0871,37.634,123.903,71,136,26.164
293,frame_0030.png:0002-1050,37.771,123.994,81,168,26.908
294,frame_0030.png:0003-1265,35.854,121.911,73,136,25.980
295,frame_0030.png:0001-0871,37.834,123.800,72,136,26.098
296,frame_0030.png:0002-1050,38.020,123.819,81,168,27.027
297,frame_0030.png:0003-1264,36.060,121.806,68,136,26.334
298,frame_0030.png:0001-0871,37.952,123.707,60,136,26.237
299,frame_0030.png:0002-1050,38.083,123.789,73,168,27.177
300,frame_0030.png:0003-1265,36.091,121.804,69,136,26.176
301,frame_0030.png:0001-0871,38.238,123.590,75,136,26.191
302,frame_0030.png:0002-1051,38.462,123.553,79,168,27.000
303,frame_0030.png:0003-1264,36.433,121.530,68,136,26.073
304,frame_0030.png:0001-0871,38.475,123.428,75,136,26.321
305,frame_0030.png:0002-1051,38.879,123.242,73,168,27.177
306,frame_0030.png:0003-1265,36.987,121.135,73,136,26.454
307,frame_0030.png:0001-0871,39.147,122.899,63,136,26.591
308,frame_0030.png:0002-1050,39.732,122.557,70,168,27.212
309,frame_0030.png:0003-1265,37.765,120.505,68,136,26.481
310,frame_0030.png:0001-0871,39.514,122.650,65,136,26.637
311,frame_0030.png:0002-1051,40.018,122.325,71,168,27.454
312,frame_0030.png:0003-1265,38.263,120.077,63,136,26.992
313,frame_0030.png:0001-0871,39.763,122.445,64,136,26.768
314,frame_0030.png:0002-1051,40.317,122.136,67,168,28.031
315,frame_0030.png:0003-1265,38.717,119.715,68,136,26.927
316,frame_0030.png:0001-0871,39.968,122.340,65,136,26.860
317,frame_0030.png:0002-1051,40.609,121.881,67,168,27.639
318,frame_0030.png:0003-1266,39.165,119.337,72,136,27.104
319,frame_0030.png:0001-0871,40.323,122.003,65,136,27.083
320,frame_0030.png:0002-1051,41.113,121.449,65,168,27.705
321,frame_0030.png:0003-1266,39.539,118.972,68,136,27.485
322,frame_0030.png:0001-0871,40.609,121.714,65,136,26.906
323,frame_0030.png:0002-1051,41.350,121.227,66,168,27.789
324,frame_0030.png:0003-1266,39.987,118.552,68,136,27.242
325,frame_0030.png:0001-0872,40.933,121.369,62,136,27.102
326,frame_0030.png:0002-1051,41.742,120.829,65,168,28.085
327,frame_0030.png:0003-1266,40.429,118.064,60,136,27.466
328,frame_0030.png:0001-0872,41.076,121.206,62,136,27.195
329,frame_0030.png:0002-1052,41.991,120.568,57,168,27.993
330,frame_0030.png:0003-1266,40.622,117.852,53,136,27.354
331,frame_0030.png:0001-0872,41.188,121.102,68,136,27.306
332,frame_0030.png:0002-1052,42.184,120.399,69,168,27.824
333,frame_0030.png:0003-1266,41.051,117.427,66,136,27.539
